t=2026-06-04T10:21:02-0600 lvl=info msg="no configuration paths supplied"
t=2026-06-04T10:21:02-0600 lvl=info msg="using configuration at default config path" path="C:\\Users\\Soporte TI Junior\\AppData\\Local\\ngrok\\ngrok.yml"
t=2026-06-04T10:21:02-0600 lvl=info msg="open config file" path="C:\\Users\\Soporte TI Junior\\AppData\\Local\\ngrok\\ngrok.yml" err=nil
t=2026-06-04T10:21:02-0600 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-06-04T10:21:02-0600 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-06-04T10:21:02-0600 lvl=info msg="client session established" obj=tunnels.session
t=2026-06-04T10:21:02-0600 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-06-04T10:23:26-0600 lvl=info msg="join connections" obj=join id=3de28aaea575 l=[::1]:3000 r=[2a03:2880:12ff:41::]:40694
t=2026-06-04T10:23:27-0600 lvl=info msg="join connections" obj=join id=54f458425959 l=[::1]:3000 r=[2a03:2880:10ff:5b::]:36156
t=2026-06-04T10:23:28-0600 lvl=info msg="join connections" obj=join id=dd6fe753be8e l=[::1]:3000 r=[2a03:2880:22ff:4e::]:52322
t=2026-06-04T10:23:28-0600 lvl=info msg="join connections" obj=join id=b25923ed4f7f l=[::1]:3000 r=[2a03:2880:10ff:5f::]:41778
t=2026-06-04T10:23:28-0600 lvl=info msg="join connections" obj=join id=6fa101668e34 l=[::1]:3000 r=[2a03:2880:10ff:47::]:41212
t=2026-06-04T11:03:05-0600 lvl=info msg="join connections" obj=join id=1a44205ba462 l=[::1]:3000 r=[2a03:2880:21ff:9::]:37728
t=2026-06-04T11:03:18-0600 lvl=info msg="join connections" obj=join id=e4e8f1ef97d7 l=[::1]:3000 r=[2a03:2880:21ff:50::]:50900
t=2026-06-04T11:03:18-0600 lvl=info msg="join connections" obj=join id=028a4bb11b4c l=[::1]:3000 r=[2a03:2880:22ff:1::]:37108
t=2026-06-04T11:03:18-0600 lvl=info msg="join connections" obj=join id=a7f77a235bc3 l=[::1]:3000 r=[2a03:2880:12ff:70::]:45628
t=2026-06-04T11:04:42-0600 lvl=info msg="join connections" obj=join id=451cebce597d l=[::1]:3000 r=[2a03:2880:10ff:58::]:33078
t=2026-06-04T11:04:49-0600 lvl=info msg="join connections" obj=join id=c64f0c4b3f2e l=[::1]:3000 r=[2a03:2880:21ff:6::]:52722
t=2026-06-04T11:04:49-0600 lvl=info msg="join connections" obj=join id=90d4d84bd44a l=[::1]:3000 r=[2a03:2880:12ff:5::]:52522
t=2026-06-04T11:04:50-0600 lvl=info msg="join connections" obj=join id=67684378c844 l=[::1]:3000 r=[2a03:2880:10ff:4a::]:37172
t=2026-06-04T11:06:20-0600 lvl=info msg="join connections" obj=join id=285dbc85873d l=[::1]:3000 r=[2a03:2880:10ff:c::]:43948
t=2026-06-04T11:06:24-0600 lvl=info msg="join connections" obj=join id=fece2c2a2ab0 l=[::1]:3000 r=[2a03:2880:24ff:58::]:36374
t=2026-06-04T11:06:24-0600 lvl=info msg="join connections" obj=join id=770a658f89e8 l=[::1]:3000 r=[2a03:2880:22ff:52::]:65018
t=2026-06-04T11:06:24-0600 lvl=info msg="join connections" obj=join id=88c62a224594 l=[::1]:3000 r=[2a03:2880:22ff:74::]:40366
t=2026-06-04T11:06:24-0600 lvl=info msg="join connections" obj=join id=30054692cfef l=[::1]:3000 r=[2a03:2880:10ff:52::]:50480
t=2026-06-04T11:06:25-0600 lvl=info msg="join connections" obj=join id=a7f38428a0f5 l=[::1]:3000 r=[2a03:2880:22ff:43::]:46806
